id,dataset,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
network_2_30,network_2,How old is the youngest person for each job?,"SELECT min(age) ,  job FROM Person GROUP BY job","SELECT min(age ), job FROM Person GROUP BY job;","SELECT MIN(age), job FROM Person GROUP BY job",1,1,1,1524.36,
network_2_31,network_2,Find the number of people who is under 40 for each gender.,"SELECT count(*) ,  gender FROM Person WHERE age  <  40 GROUP BY gender",SELECT count(*) FROM Person WHERE age < 40 GROUP BY gender;,SELECT COUNT(*) FROM Person WHERE age < 40 GROUP BY gender,0,0,1,1926.62,
network_2_32,network_2,How many people are under 40 for each gender?,"SELECT count(*) ,  gender FROM Person WHERE age  <  40 GROUP BY gender",SELECT count(*) FROM Person WHERE age < 40 GROUP BY gender;,SELECT COUNT(*) FROM Person WHERE age < 40 GROUP BY gender,0,0,1,1927.56,
network_2_33,network_2,Find the name of people whose age is greater than any engineer sorted by their age.,SELECT name FROM Person WHERE age  >  (SELECT min(age) FROM person WHERE job  =  'engineer') ORDER BY age,SELECT name FROM Person WHERE age > (SELECT min(age) FROM person WHERE job = 'engineer') ORDER BY age;,SELECT name FROM Person WHERE age > (SELECT MIN(age) FROM person WHERE job = 'engineer') ORDER BY age,1,1,1,2687.35,
network_2_34,network_2,What is the name of all the people who are older than at least one engineer? Order them by age.,SELECT name FROM Person WHERE age  >  (SELECT min(age) FROM person WHERE job  =  'engineer') ORDER BY age,SELECT name FROM Person WHERE age > (SELECT min(age) FROM person WHERE job = 'engineer') ORDER BY age;,SELECT name FROM Person WHERE age > (SELECT MIN(age) FROM person WHERE job = 'engineer') ORDER BY age,1,1,1,2641.89,
network_2_35,network_2,Find the number of people whose age is greater than all engineers.,SELECT count(*) FROM Person WHERE age  >  (SELECT max(age) FROM person WHERE job  =  'engineer'),SELECT count(*) FROM Person WHERE age > (SELECT max(age) FROM person WHERE job = 'engineer');,SELECT COUNT(*) FROM Person WHERE age > (SELECT MAX(age) FROM person WHERE job = 'engineer'),1,1,1,2522.21,
network_2_36,network_2,How many people are older than every engineer?,SELECT count(*) FROM Person WHERE age  >  (SELECT max(age) FROM person WHERE job  =  'engineer'),SELECT count(*) FROM Person WHERE age > (SELECT min(age) FROM person WHERE job = 'engineer');,SELECT COUNT(*) FROM Person WHERE age > (SELECT MIN(age) FROM person WHERE job = 'engineer'),0,1,1,2588.26,
network_2_37,network_2,"list the name, job title of all people ordered by their names.","SELECT name ,  job FROM Person ORDER BY name","SELECT name, job FROM Person ORDER BY name;","SELECT name, job FROM Person ORDER BY name",1,1,1,1281.9,
network_2_38,network_2,What are the names and job titles of every person ordered alphabetically by name?,"SELECT name ,  job FROM Person ORDER BY name","SELECT name, job FROM Person ORDER BY name;","SELECT name, job FROM Person ORDER BY name",1,1,1,1278.61,
network_2_39,network_2,Find the names of all person sorted in the descending order using age.,SELECT name FROM Person ORDER BY age DESC,SELECT name FROM Person ORDER BY age DESC;,SELECT name FROM Person ORDER BY age DESC,1,1,1,1291.56,
network_2_40,network_2,What are the names of everybody sorted by age in descending order?,SELECT name FROM Person ORDER BY age DESC,SELECT name FROM Person ORDER BY age DESC;,SELECT name FROM Person ORDER BY age DESC,1,1,1,1292.3,
network_2_41,network_2,Find the name and age of all males in order of their age.,SELECT name FROM Person WHERE gender  =  'male' ORDER BY age,SELECT name FROM Person WHERE gender ='male' ORDER BY age;,SELECT name FROM Person WHERE gender = 'male' ORDER BY age,1,1,1,1928.02,
network_2_42,network_2,What is the name and age of every male? Order the results by age.,SELECT name FROM Person WHERE gender  =  'male' ORDER BY age,"SELECT name, age FROM Person WHERE gender ='male' ORDER BY age;","SELECT name, age FROM Person WHERE gender = 'male' ORDER BY age",0,0,1,1823.83,
network_2_43,network_2,Find the name and age of the person who is a friend of both Dan and Alice.,"SELECT T1.name ,  T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend  =  'Dan' INTERSECT SELECT T1.name ,   T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend  =  'Alice'","SELECT T1.name, T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Dan' INTERSECT SELECT T1.name, T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Alice';","SELECT T1.name, T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Dan' INTERSECT SELECT T1.name, T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Alice'",1,1,1,8663.97,
network_2_44,network_2,What are the names and ages of every person who is a friend of both Dan and Alice?,"SELECT T1.name ,  T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend  =  'Dan' INTERSECT SELECT T1.name ,   T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend  =  'Alice'","SELECT T1.name, T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Dan' INTERSECT SELECT T1.name, T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Alice';","SELECT T1.name, T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Dan' INTERSECT SELECT T1.name, T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Alice'",1,1,1,7263.41,
network_2_45,network_2,Find the name and age of the person who is a friend of Dan or Alice.,"SELECT DISTINCT T1.name ,  T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend  =  'Dan' OR T2.friend  =  'Alice'","SELECT T1.name, T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Dan' OR T2.friend = 'Alice';","SELECT T1.name, T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Dan' OR T2.friend = 'Alice'",0,1,1,5102.45,
network_2_46,network_2,What are the different names and ages of every friend of either Dan or alice?,"SELECT DISTINCT T1.name ,  T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend  =  'Dan' OR T2.friend  =  'Alice'","SELECT DISTINCT T1.name, T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Dan' OR T2.friend = 'Alice';","SELECT DISTINCT T1.name, T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Dan' OR T2.friend = 'Alice'",1,1,1,5298.76,
network_2_47,network_2,Find the name of the person who has friends with age above 40 and under age 30?,SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend IN (SELECT name FROM Person WHERE age  >  40) INTERSECT SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend IN (SELECT name FROM Person WHERE age  <  30),SELECT T2.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T1.friend IN (SELECT name FROM Person WHERE age > 40 INTERSECT SELECT name FROM Person WHERE age < 30);,SELECT T2.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T1.friend IN (SELECT name FROM Person WHERE age > 40 INTERSECT SELECT name FROM Person WHERE age < 30),0,0,0,4892.66,no such column: T1.friend
network_2_48,network_2,What are the names of every person who has a friend over 40 and under 30?,SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend IN (SELECT name FROM Person WHERE age  >  40) INTERSECT SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend IN (SELECT name FROM Person WHERE age  <  30),SELECT T2.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T1.friend IN (SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T1.friend IN (SELECT T1.name FROM Person WHERE T1.friend IN (SELECT T1.name FROM Person WHERE T1.friend IN (SELECT T1.name FROM Person WHERE T1.friend IN (SELECT T1.name FROM Person WHERE T1.friend IN (SELECT T1.name FROM Person WHERE T1.friend IN (SELECT T1.name FROM Person WHERE T1.friend IN (SELECT T1.name FROM Person WHERE T1.friend IN (SELECT T1.name FROM Person WHERE T1.friend IN (SELECT T1.name FROM Person WHERE T1.friend IN (SELECT T1.name FROM Person WHERE T1.friend IN (SELECT T1.name FROM Person WHERE T1.friend IN (SELECT T1.name FROM Person WHERE T1.friend IN (SELECT T1.name FROM,,0,0,0,17545.38,ParseError: Could not parse predicted SQL
network_2_49,network_2,Find the name of the person who has friends with age above 40 but not under age 30?,SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend IN (SELECT name FROM Person WHERE age  >  40) EXCEPT SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend IN (SELECT name FROM Person WHERE age  <  30),SELECT T2.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T1.friend IN (SELECT name FROM Person WHERE age > 40) EXCEPT SELECT T2.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T1.friend IN (SELECT name FROM Person WHERE age < 30),SELECT T2.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T1.friend IN (SELECT name FROM Person WHERE age > 40) EXCEPT SELECT T2.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T1.friend IN (SELECT name FROM Person WHERE age < 30),0,0,0,8733.27,no such column: T1.friend
network_2_50,network_2,What are the names of the people who are older 40 but no friends under age 30?,SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend IN (SELECT name FROM Person WHERE age  >  40) EXCEPT SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend IN (SELECT name FROM Person WHERE age  <  30),SELECT name FROM Person WHERE age > 40 EXCEPT SELECT name FROM PersonFriend WHERE friend!= 30;,SELECT name FROM Person WHERE age > 40 EXCEPT SELECT name FROM PersonFriend WHERE friend <> 30,0,0,1,4497.62,
